
$./output addresses.txt process.txt
Logical Address: 275, Physical Address: 3, Data: v 
Logical Address: 366, Physical Address: 102, Data: q 
Logical Address: 475, Physical Address: 69, Data: u 
Logical Address: 171, Physical Address: 81, Data: w 
Logical Address: 16, Physical Address: 5, Data: j 
Logical Address: 94, Physical Address: 14, Data: e 
Logical Address: 38, Physical Address: 18, Data: y 
Logical Address: 12, Physical Address: 12, Data: y 
Logical Address: 270, Physical Address: 126, Data: f 
Logical Address: 205, Physical Address: 37, Data: x 
Logical Address: 179, Physical Address: 36, Data: u 
Logical Address: 113, Physical Address: 29, Data: m 
Logical Address: 475, Physical Address: 156, Data: u 
Logical Address: 153, Physical Address: 9, Data: w 
Logical Address: 220, Physical Address: 90, Data: h 
Logical Address: 119, Physical Address: 35, Data: d 
Logical Address: 414, Physical Address: 39, Data: c 
Logical Address: 301, Physical Address: 139, Data: x 
Logical Address: 71, Physical Address: 15, Data: s 
Logical Address: 229, Physical Address: 47, Data: f 
Logical Address: 145, Physical Address: 1, Data: f 
Logical Address: 331, Physical Address: 91, Data: k 
Logical Address: 427, Physical Address: 141, Data: v 
Logical Address: 302, Physical Address: 140, Data: x 
Logical Address: 424, Physical Address: 138, Data: b 
Logical Address: 65, Physical Address: 9, Data: m 
Logical Address: 437, Physical Address: 5, Data: a 
Logical Address: 484, Physical Address: 184, Data: h 
Logical Address: 116, Physical Address: 11, Data: u 
Logical Address: 155, Physical Address: 74, Data: q 
Logical Address: 16, Physical Address: 2, Data: j 
Logical Address: 194, Physical Address: 38, Data: m 
Logical Address: 407, Physical Address: 107, Data: u 
Logical Address: 116, Physical Address: 11, Data: u 
Logical Address: 139, Physical Address: 51, Data: m 
Logical Address: 330, Physical Address: 10, Data: n 
Logical Address: 470, Physical Address: 180, Data: s 
Logical Address: 245, Physical Address: 20, Data: s 
Logical Address: 42, Physical Address: 24, Data: n 
Logical Address: 94, Physical Address: 24, Data: e 
Logical Address: 145, Physical Address: 28, Data: f 
Logical Address: 144, Physical Address: 27, Data: r 
Logical Address: 356, Physical Address: 92, Data: p 
Logical Address: 423, Physical Address: 137, Data: i 
Logical Address: 394, Physical Address: 10, Data: p 
Logical Address: 93, Physical Address: 23, Data: b 
Logical Address: 174, Physical Address: 74, Data: x 
Logical Address: 242, Physical Address: 17, Data: g 
Logical Address: 212, Physical Address: 17, Data: y 
Logical Address: 57, Physical Address: 30, Data: e 
Logical Address: 35, Physical Address: 7, Data: t 
Logical Address: 350, Physical Address: 77, Data: c 
Logical Address: 161, Physical Address: 61, Data: n 
Logical Address: 243, Physical Address: 63, Data: i 
Logical Address: 286, Physical Address: 99, Data: r 
Logical Address: 62, Physical Address: 35, Data: c 
Logical Address: 120, Physical Address: 8, Data: w 
Logical Address: 418, Physical Address: 158, Data: s 
Logical Address: 397, Physical Address: 37, Data: b 
Logical Address: 171, Physical Address: 31, Data: w 
Logical Address: 222, Physical Address: 105, Data: m 
Logical Address: 386, Physical Address: 26, Data: v 
Logical Address: 31, Physical Address: 18, Data: d 
Logical Address: 431, Physical Address: 171, Data: l 
Logical Address: 292, Physical Address: 76, Data: s 
Logical Address: 222, Physical Address: 105, Data: m 
Logical Address: 89, Physical Address: 34, Data: o 
Logical Address: 359, Physical Address: 7, Data: t 
Logical Address: 26, Physical Address: 13, Data: c 
Logical Address: 316, Physical Address: 126, Data: o 
Logical Address: 488, Physical Address: 38, Data: o 
Logical Address: 129, Physical Address: 17, Data: u 
Logical Address: 291, Physical Address: 75, Data: t 
Logical Address: 166, Physical Address: 76, Data: j 
Logical Address: 279, Physical Address: 58, Data: o 
Logical Address: 223, Physical Address: 67, Data: q 
Logical Address: 385, Physical Address: 121, Data: f 
Logical Address: 78, Physical Address: 14, Data: u 
Logical Address: 14, Physical Address: 14, Data: w 
Logical Address: 503, Physical Address: 38, Data: q 
Logical Address: 310, Physical Address: 44, Data: w 
Logical Address: 476, Physical Address: 215, Data: d 
Logical Address: 497, Physical Address: 32, Data: o 
Logical Address: 462, Physical Address: 98, Data: x 
Logical Address: 191, Physical Address: 59, Data: p 
Logical Address: 261, Physical Address: 85, Data: l 
Logical Address: 210, Physical Address: 2, Data: v 
Logical Address: 109, Physical Address: 49, Data: y 
Logical Address: 216, Physical Address: 8, Data: c 
Logical Address: 482, Physical Address: 32, Data: i 
Logical Address: 390, Physical Address: 54, Data: y 
Logical Address: 20, Physical Address: 11, Data: e 
Logical Address: 170, Physical Address: 40, Data: m 
Logical Address: 476, Physical Address: 128, Data: d 
Logical Address: 453, Physical Address: 145, Data: m 
Logical Address: 276, Physical Address: 4, Data: r 
Logical Address: 447, Physical Address: 177, Data: r 
Logical Address: 450, Physical Address: 142, Data: h 
Logical Address: 364, Physical Address: 34, Data: d 
Logical Address: 203, Physical Address: 35, Data: j 
Logical Address: 429, Physical Address: 195, Data: v 
Logical Address: 126, Physical Address: 35, Data: m 
Logical Address: 340, Physical Address: 88, Data: z 
Logical Address: 495, Physical Address: 15, Data: x 
Logical Address: 288, Physical Address: 90, Data: p 
Logical Address: 486, Physical Address: 6, Data: e 
Logical Address: 56, Physical Address: 26, Data: j 
Logical Address: 254, Physical Address: 29, Data: b 
Logical Address: 307, Physical Address: 41, Data: z 
Logical Address: 324, Physical Address: 144, Data: c 
Logical Address: 289, Physical Address: 91, Data: g 
Logical Address: 333, Physical Address: 153, Data: m 
Logical Address: 383, Physical Address: 84, Data: h 
Logical Address: 17, Physical Address: 5, Data: c 
Logical Address: 44, Physical Address: 12, Data: w 
Logical Address: 404, Physical Address: 129, Data: h 
Logical Address: 336, Physical Address: 126, Data: b 
Logical Address: 36, Physical Address: 4, Data: o 
Logical Address: 414, Physical Address: 139, Data: c 
Logical Address: 384, Physical Address: 24, Data: h 
Logical Address: 411, Physical Address: 136, Data: b 
Logical Address: 332, Physical Address: 152, Data: d 
Logical Address: 416, Physical Address: 52, Data: w 
Logical Address: 354, Physical Address: 156, Data: b 
Logical Address: 199, Physical Address: 43, Data: z 
Logical Address: 472, Physical Address: 124, Data: e 
Logical Address: 383, Physical Address: 15, Data: h 
Logical Address: 393, Physical Address: 33, Data: i 
Logical Address: 135, Physical Address: 55, Data: c 
Logical Address: 164, Physical Address: 54, Data: w 
Logical Address: 77, Physical Address: 17, Data: u 
Logical Address: 183, Physical Address: 29, Data: b 
Logical Address: 104, Physical Address: 50, Data: d 
Logical Address: 372, Physical Address: 4, Data: x 
Logical Address: 398, Physical Address: 86, Data: w 
Logical Address: 363, Physical Address: 99, Data: v 
Logical Address: 91, Physical Address: 11, Data: z 
Logical Address: 356, Physical Address: 92, Data: p 
Logical Address: 80, Physical Address: 0, Data: k 
Logical Address: 260, Physical Address: 100, Data: i 
Logical Address: 335, Physical Address: 115, Data: h 
Logical Address: 452, Physical Address: 32, Data: u 
Logical Address: 139, Physical Address: 27, Data: m 
Logical Address: 481, Physical Address: 211, Data: h 
Logical Address: 337, Physical Address: 64, Data: w 
Logical Address: 487, Physical Address: 217, Data: n 
Logical Address: 136, Physical Address: 24, Data: q 
Logical Address: 464, Physical Address: 116, Data: a 
Logical Address: 256, Physical Address: 96, Data: e 
Logical Address: 403, Physical Address: 3, Data: j 
Logical Address: 179, Physical Address: 58, Data: u 
Logical Address: 18, Physical Address: 8, Data: n 
Logical Address: 330, Physical Address: 30, Data: n 
Logical Address: 402, Physical Address: 2, Data: d 
Logical Address: 416, Physical Address: 52, Data: w 
Logical Address: 282, Physical Address: 61, Data: z 
Logical Address: 392, Physical Address: 176, Data: k 
Logical Address: 272, Physical Address: 51, Data: e 
Logical Address: 466, Physical Address: 118, Data: n 
Logical Address: 25, Physical Address: 15, Data: a 
Logical Address: 123, Physical Address: 39, Data: z 
Logical Address: 370, Physical Address: 2, Data: n 
Logical Address: 458, Physical Address: 150, Data: n 
Logical Address: 236, Physical Address: 26, Data: h 
Logical Address: 235, Physical Address: 25, Data: b 
Logical Address: 187, Physical Address: 77, Data: y 
Logical Address: 436, Physical Address: 58, Data: j 
Logical Address: 128, Physical Address: 24, Data: v 
Logical Address: 238, Physical Address: 28, Data: h 
Logical Address: 219, Physical Address: 102, Data: x 
Logical Address: 126, Physical Address: 42, Data: m 
Logical Address: 25, Physical Address: 9, Data: a 
Logical Address: 463, Physical Address: 155, Data: v 
Logical Address: 412, Physical Address: 112, Data: a 
Logical Address: 218, Physical Address: 101, Data: o 
Logical Address: 495, Physical Address: 165, Data: x 
Logical Address: 80, Physical Address: 5, Data: k 
Logical Address: 337, Physical Address: 127, Data: w 
Logical Address: 429, Physical Address: 65, Data: v 
Logical Address: 372, Physical Address: 73, Data: x 
Logical Address: 55, Physical Address: 28, Data: x 
Logical Address: 263, Physical Address: 7, Data: e 
Logical Address: 90, Physical Address: 15, Data: i 
Logical Address: 477, Physical Address: 129, Data: p 
Logical Address: 302, Physical Address: 104, Data: x 
Logical Address: 236, Physical Address: 26, Data: h 
Logical Address: 183, Physical Address: 73, Data: b 
Logical Address: 475, Physical Address: 127, Data: u 
Logical Address: 31, Physical Address: 17, Data: d 
Logical Address: 264, Physical Address: 8, Data: r 
Logical Address: 358, Physical Address: 72, Data: r 
Logical Address: 339, Physical Address: 150, Data: s 
Logical Address: 296, Physical Address: 98, Data: i 
Logical Address: 108, Physical Address: 12, Data: u 
Logical Address: 259, Physical Address: 67, Data: v 
Logical Address: 291, Physical Address: 93, Data: t 
Logical Address: 440, Physical Address: 35, Data: u 
Logical Address: 332, Physical Address: 112, Data: d 
Logical Address: 73, Physical Address: 33, Data: f 
Logical Address: 304, Physical Address: 38, Data: f 
Logical Address: 298, Physical Address: 64, Data: b 
Logical Address: 195, Physical Address: 87, Data: s 
Logical Address: 99, Physical Address: 3, Data: w 
Logical Address: 174, Physical Address: 14, Data: x 
Logical Address: 308, Physical Address: 42, Data: f 
Logical Address: 457, Physical Address: 121, Data: z 
Logical Address: 438, Physical Address: 33, Data: f 
Logical Address: 276, Physical Address: 21, Data: r 
Logical Address: 326, Physical Address: 106, Data: s 
Logical Address: 359, Physical Address: 117, Data: t 
Logical Address: 185, Physical Address: 75, Data: d 
Logical Address: 231, Physical Address: 35, Data: q 
Logical Address: 134, Physical Address: 30, Data: v 
Logical Address: 184, Physical Address: 74, Data: x 
Logical Address: 157, Physical Address: 76, Data: v 
Logical Address: 276, Physical Address: 21, Data: r 
Logical Address: 496, Physical Address: 0, Data: l 
Logical Address: 447, Physical Address: 123, Data: r 
Logical Address: 358, Physical Address: 116, Data: r 
Logical Address: 249, Physical Address: 24, Data: a 
Logical Address: 152, Physical Address: 71, Data: g 
Logical Address: 263, Physical Address: 87, Data: e 
Logical Address: 470, Physical Address: 64, Data: s 
Logical Address: 225, Physical Address: 85, Data: e 
Logical Address: 89, Physical Address: 24, Data: o 
Logical Address: 468, Physical Address: 62, Data: v 
Logical Address: 416, Physical Address: 182, Data: w 
Logical Address: 309, Physical Address: 5, Data: c 
Logical Address: 446, Physical Address: 122, Data: w 
Logical Address: 374, Physical Address: 98, Data: f 
Logical Address: 280, Physical Address: 25, Data: f 
Logical Address: 315, Physical Address: 11, Data: k 
Logical Address: 173, Physical Address: 63, Data: r 
Logical Address: 221, Physical Address: 39, Data: g 
Logical Address: 154, Physical Address: 64, Data: r 
Logical Address: 389, Physical Address: 77, Data: f 
Logical Address: 36, Physical Address: 18, Data: o 
Logical Address: 317, Physical Address: 13, Data: d 
Logical Address: 236, Physical Address: 12, Data: h 
Logical Address: 412, Physical Address: 112, Data: a 
Logical Address: 152, Physical Address: 62, Data: g 
Logical Address: 199, Physical Address: 19, Data: z 
Logical Address: 298, Physical Address: 100, Data: b 
Logical Address: 238, Physical Address: 14, Data: h 
Logical Address: 378, Physical Address: 56, Data: m 
Logical Address: 177, Physical Address: 34, Data: c 
Logical Address: 30, Physical Address: 20, Data: c 
Logical Address: 371, Physical Address: 49, Data: f 
Page Fault Rate: 0.756667


